#Thermo information
#TimeStep Temp PE KE
0 10.1231 -56.5436 0.93543
1 10.1938 -56.5502 0.94196
2 10.2635 -56.5566 0.948404
3 10.3322 -56.563 0.954745
4 10.3995 -56.5692 0.960971
5 10.4655 -56.5753 0.967064
6 10.5298 -56.5813 0.973005
7 10.5923 -56.5871 0.978781
8 10.6528 -56.5928 0.984376
9 10.7112 -56.5982 0.989774
10 10.7674 -56.6035 0.994959
11 10.821 -56.6086 0.999917
12 10.8721 -56.6134 1.00463
13 10.9204 -56.618 1.0091
14 10.9658 -56.6224 1.0133
15 11.0083 -56.6265 1.01723
16 11.0477 -56.6303 1.02087
17 11.0839 -56.6339 1.02421
18 11.1167 -56.6371 1.02724
19 11.1462 -56.6401 1.02996
20 11.1721 -56.6428 1.03236
21 11.1945 -56.6452 1.03443
22 11.2132 -56.6473 1.03615
23 11.2282 -56.649 1.03754
24 11.2394 -56.6505 1.03858
25 11.2469 -56.6516 1.03927
26 11.2505 -56.6524 1.0396
27 11.2502 -56.6528 1.03958
28 11.2461 -56.6529 1.0392
29 11.2382 -56.6527 1.03846
30 11.2263 -56.6522 1.03737
31 11.2107 -56.6513 1.03592
32 11.1912 -56.6501 1.03412
33 11.1679 -56.6486 1.03197
34 11.1409 -56.6468 1.02948
35 11.1102 -56.6446 1.02664
36 11.0759 -56.6422 1.02347
37 11.0381 -56.6394 1.01997
38 10.9967 -56.6363 1.01615
39 10.952 -56.633 1.01202
40 10.9039 -56.6293 1.00757
41 10.8526 -56.6254 1.00283
42 10.7982 -56.6212 0.997808
43 10.7408 -56.6167 0.992504
44 10.6805 -56.612 0.986936
45 10.6175 -56.6071 0.981113
46 10.5519 -56.6019 0.975049
47 10.4838 -56.5965 0.968757
48 10.4134 -56.5908 0.962248
49 10.3407 -56.585 0.955538
50 10.2661 -56.579 0.94864
51 10.1896 -56.5729 0.941572
52 10.1115 -56.5666 0.93435
53 10.0317 -56.5601 0.926983
54 9.95062 -56.5535 0.919489
55 9.86832 -56.5468 0.911883
56 9.78499 -56.54 0.904183
57 9.70079 -56.5331 0.896403
58 9.61589 -56.5262 0.888558
59 9.53047 -56.5191 0.880664
60 9.4447 -56.5121 0.872738
61 9.35875 -56.505 0.864797
62 9.27281 -56.4979 0.856855
63 9.18708 -56.4908 0.848933
64 9.10174 -56.4837 0.841047
65 9.01692 -56.4767 0.83321
66 8.93281 -56.4697 0.825437
67 8.84956 -56.4627 0.817745
68 8.76735 -56.4559 0.810148
69 8.68635 -56.4491 0.802663
70 8.6067 -56.4424 0.795303
71 8.52858 -56.4359 0.788084
72 8.45213 -56.4294 0.78102
73 8.37751 -56.4231 0.774125
74 8.30488 -56.417 0.767413
75 8.23438 -56.4111 0.760899
76 8.16613 -56.4053 0.754592
77 8.10026 -56.3997 0.748505
78 8.03689 -56.3943 0.74265
79 7.97616 -56.3892 0.737038
80 7.91818 -56.3842 0.73168
81 7.86305 -56.3795 0.726586
82 7.81088 -56.3751 0.721765
83 7.76178 -56.3709 0.717228
84 7.71582 -56.3669 0.712981
85 7.67311 -56.3632 0.709034
86 7.63371 -56.3598 0.705394
87 7.59772 -56.3567 0.702069
88 7.56521 -56.3539 0.699064
89 7.53622 -56.3513 0.696385
90 7.51081 -56.3491 0.694037
91 7.48903 -56.3471 0.692024
92 7.47089 -56.3455 0.690349
93 7.45644 -56.3442 0.689013
94 7.44569 -56.3431 0.68802
95 7.43867 -56.3424 0.687371
96 7.43537 -56.342 0.687067
97 7.43582 -56.3419 0.687108
98 7.44 -56.3421 0.687494
99 7.4479 -56.3426 0.688224
100 7.45952 -56.3434 0.689298
101 7.47484 -56.3446 0.690713
102 7.49384 -56.346 0.692469
103 7.51647 -56.3477 0.69456
104 7.54267 -56.3497 0.696981
105 7.57241 -56.352 0.699729
106 7.60562 -56.3546 0.702799
107 7.64226 -56.3574 0.706183
108 7.68223 -56.3605 0.709878
109 7.72549 -56.3639 0.713875
110 7.77194 -56.3675 0.718167
111 7.8215 -56.3714 0.722746
112 7.87408 -56.3755 0.727605
113 7.92958 -56.3798 0.732734
114 7.98791 -56.3843 0.738124
115 8.04896 -56.389 0.743765
116 8.11262 -56.394 0.749647
117 8.17877 -56.3991 0.75576
118 8.24729 -56.4043 0.762092
119 8.31807 -56.4098 0.768632
120 8.39097 -56.4153 0.775369
121 8.46588 -56.421 0.782291
122 8.54267 -56.4269 0.789386
123 8.62118 -56.4328 0.796641
124 8.70127 -56.4388 0.804041
125 8.78279 -56.4449 0.811575
126 8.86561 -56.4511 0.819228
127 8.94957 -56.4573 0.826986
128 9.03453 -56.4635 0.834837
129 9.12033 -56.4698 0.842765
130 9.20681 -56.4761 0.850757
131 9.29382 -56.4823 0.858797
132 9.3812 -56.4886 0.866871
133 9.4688 -56.4948 0.874965
134 9.55645 -56.5009 0.883065
135 9.644 -56.507 0.891155
136 9.7313 -56.513 0.899222
137 9.8182 -56.5189 0.907251
138 9.90452 -56.5247 0.915229
